INTERVAL_ID,TARIFF,PROBABILITY
00,1,0.004
00,2,0.6
00,3,0.03
00,4,0.5
01,1,0.004
01,2,0.6
01,3,0.03
01,4,0.5
02,1,0.004
02,2,0.6
02,3,0.03
02,4,0.5
03,1,0.004
03,2,0.6
03,3,0.03
03,4,0.5
04,1,0.004
04,2,0.6
04,3,0.03
04,4,0.5
05,1,0.004
05,2,0.6
05,3,0.03
05,4,0.5
06,1,0.004
06,2,0.6
06,3,0.03
06,4,0.5
07,1,0.004
07,2,0.6
07,3,0.03
07,4,0.5
08,1,0.004
08,2,0.6
08,3,0.03
08,4,0.5
09,1,0.004
09,2,0.6
09,3,0.03
09,4,0.5
10,1,0.4
10,2,0.6
10,3,0.3
10,4,0.5
11,1,0.004
11,2,0.6
11,3,0.03
11,4,0.5
12,1,0.004
12,2,0.6
12,3,0.3
12,4,0.5
13,1,0.004
13,2,0.6
13,3,0.03
13,4,0.5
14,1,0.4
14,2,0.6
14,3,0.03
14,4,0.5
15,1,0.004
15,2,0.6
15,3,0.03
15,4,0.5
16,1,0.004
16,2,0.6
16,3,0.03
16,4,0.5
17,1,0.004
17,2,0.6
17,3,0.03
17,4,0.5
18,1,0.004
18,2,0.6
18,3,0.03
18,4,0.5
19,1,0.004
19,2,0.9
19,3,0.03
19,4,0.5
20,1,0.004
20,2,0.9
20,3,0.03
20,4,0.5
21,1,0.004
21,2,0.9
21,3,0.03
21,4,0.5
22,1,0.004
22,2,0.9
22,3,0.03
22,4,0.5
23,1,0.004
23,2,0.6
23,3,0.03
23,4,0.5
